"TOA5","La Guerite","CR300","13940","CR300-CELL200.Std.08.01","CPU:La Guerite.CR300","13677","Daily"
"TIMESTAMP","RECORD","BattV_Min","PTemp_C_Max","AirTC_Max","AirTC_TMx","AirTC_Avg","AirTC_Min","AirTC_TMn","AirTC_Std","RH_Max","RH_TMx","RH_Min","RH_TMn","SlrkW_Max","SlrkW_TMx","SlrMJ_Tot","Rain_mm_Tot","VWC_Max","VWC_TMx","VWC_Avg","VWC_Min","VWC_TMn","EC_Max","EC_TMx","EC_Avg","EC_Min","EC_TMn","T_Max","T_TMx","T_Avg","T_Min","T_TMn"
"TS","RN","Volts","Deg C","Deg C","","Deg C","Deg C","","Deg C","%","","%","","kW/m^2","","MJ/m^2","mm","m^3/m^3","","m^3/m^3","m^3/m^3","","dS/m","","dS/m","dS/m","","Deg C","","Deg C","Deg C",""
"","","Min","Max","Max","TMx","Avg","Min","TMn","Std","Max","TMx","Min","TMn","Max","TMx","Tot","Tot","Max","TMx","Avg","Min","TMn","Max","TMx","Avg","Min","TMn","Max","TMx","Avg","Min","TMn"
"2020-02-29 00:00:00",30,12.68,45.65,31.26,"2020-02-28 14:31:30",25.73,21.91,"2020-02-28 05:43:50",2.418,92.5,"2020-02-29 00:00:00",56.32,"2020-02-28 14:31:50",1.302,"2020-02-28 13:55:30",21.40456,0.762,0.281,"2020-02-28 06:39:40",0.276,0.271,"2020-02-28 22:09:10",0.136,"2020-02-28 15:52:20",0.132,0.128,"2020-02-28 08:25:00",37.99,"2020-02-28 13:33:30",27.34,22.05,"2020-02-28 06:14:20"
"2020-03-01 00:00:00",31,12.66,41.11,30.2,"2020-02-29 10:35:10",25.32,22.25,"2020-02-29 04:43:20",2.306,96.2,"2020-02-29 06:06:10",57.46,"2020-02-29 10:16:00",1.29,"2020-02-29 11:50:20",17.33346,3.302,0.289,"2020-02-29 03:01:10",0.281,0.271,"2020-02-29 02:41:00",0.149,"2020-02-29 03:07:10",0.141,0.129,"2020-02-29 02:40:30",34.78,"2020-02-29 12:42:00",26.53,22.6,"2020-02-29 04:39:50"
"2020-03-02 00:00:00",32,12.67,42.43,29.94,"2020-03-01 13:33:00",25.53,22.59,"2020-03-01 01:50:30",2.363,91.2,"2020-03-01 02:40:10",56.68,"2020-03-01 16:57:40",1.452,"2020-03-01 12:55:20",18.3579,0,0.283,"2020-03-01 09:10:00",0.28,0.276,"2020-03-01 20:06:40",0.145,"2020-03-01 16:03:40",0.14,0.136,"2020-03-01 02:59:00",35.48,"2020-03-01 12:58:30",26.77,22.77,"2020-03-01 05:07:00"
"2020-03-03 00:00:00",33,12.68,44.09,29.95,"2020-03-02 11:52:10",25.76,22.49,"2020-03-02 01:40:10",2.203,86.9,"2020-03-02 01:33:30",52.97,"2020-03-02 11:18:10",1.206,"2020-03-02 11:46:30",22.03567,0,0.279,"2020-03-02 00:40:00",0.276,0.273,"2020-03-02 22:57:30",0.145,"2020-03-02 16:22:30",0.14,0.136,"2020-03-02 07:35:30",35.33,"2020-03-02 13:18:00",26.83,22.33,"2020-03-02 06:32:40"
"2020-03-04 00:00:00",34,12.7,44.36,30.3,"2020-03-03 12:41:40",25.95,21.79,"2020-03-03 05:46:50",2.112,91.1,"2020-03-03 05:59:50",56.8,"2020-03-03 13:24:10","NAN","2020-03-03 06:32:00","NAN",0.508,0.274,"2020-03-03 01:14:30",0.273,0.271,"2020-03-03 05:19:30",0.145,"2020-03-03 16:41:40",0.14,0.135,"2020-03-03 05:15:00",35.68,"2020-03-03 12:31:40",26.88,21.88,"2020-03-03 06:26:10"
"2020-03-05 00:00:00",35,12.69,44.74,30.42,"2020-03-04 13:44:30",26.32,24.11,"2020-03-04 01:45:20",1.925,82.7,"2020-03-04 22:24:30",60.15,"2020-03-04 11:08:40",1.231,"2020-03-04 11:44:30",20.941,0,0.271,"2020-03-04 02:18:00",0.269,0.267,"2020-03-04 22:11:20",0.144,"2020-03-04 15:28:40",0.14,0.135,"2020-03-04 06:08:00",36.08,"2020-03-04 13:29:20",27.41,23.49,"2020-03-04 02:08:40"
"2020-03-06 00:00:00",36,12.68,45.43,30.23,"2020-03-05 14:41:30",26.08,23.07,"2020-03-05 05:42:20",2.068,91.5,"2020-03-05 07:38:20",53.89,"2020-03-05 16:25:50",1.133,"2020-03-05 11:53:00",22.70293,1.27,0.269,"2020-03-05 18:27:10",0.268,0.265,"2020-03-05 07:16:20",0.146,"2020-03-05 17:09:50",0.141,0.136,"2020-03-05 07:03:00",35.06,"2020-03-05 13:41:40",27.05,23.19,"2020-03-05 05:55:20"
"2020-03-07 00:00:00",37,12.69,44.23,30.62,"2020-03-06 12:56:10",26.02,23.27,"2020-03-06 23:17:20",1.973,90.4,"2020-03-06 22:43:50",55.93,"2020-03-06 12:08:00",1.263,"2020-03-06 13:27:40",20.27833,0,0.271,"2020-03-06 13:40:00",0.265,0.263,"2020-03-06 08:24:30",0.145,"2020-03-06 15:45:20",0.139,0.134,"2020-03-06 06:59:10",35.45,"2020-03-06 13:01:30",27.21,23.28,"2020-03-06 06:33:50"
"2020-03-08 00:00:00",38,12.7,40.49,28.97,"2020-03-07 13:27:10",25.51,23.11,"2020-03-07 01:23:50",1.7,94.3,"2020-03-07 01:21:40",63.25,"2020-03-07 10:00:20","NAN","2020-03-07 06:30:50","NAN",1.27,0.267,"2020-03-07 08:26:20",0.264,0.262,"2020-03-07 22:59:10",0.144,"2020-03-07 14:37:00",0.14,0.136,"2020-03-07 03:46:00",33.53,"2020-03-07 13:27:30",26.51,23.01,"2020-03-07 02:15:20"
"2020-03-09 00:00:00",39,12.69,45.37,30.33,"2020-03-08 13:18:30",26.17,23.2,"2020-03-08 05:38:10",2.311,84.6,"2020-03-08 02:27:20",53.86,"2020-03-08 13:25:20",1.117,"2020-03-08 12:20:30",24.47872,0,0.263,"2020-03-08 06:34:20",0.261,0.259,"2020-03-08 23:09:20",0.142,"2020-03-08 15:50:00",0.137,0.133,"2020-03-08 08:54:00",35.54,"2020-03-08 13:56:30",27.21,22.76,"2020-03-08 05:31:10"
"2020-03-10 00:00:00",40,12.7,44.07,29.68,"2020-03-09 13:54:40",26.08,23.1,"2020-03-09 05:44:00",2.003,73.04,"2020-03-09 18:35:10",53.06,"2020-03-09 12:42:50",1.249,"2020-03-09 12:07:40",23.85692,0,0.26,"2020-03-09 05:30:40",0.258,0.256,"2020-03-09 22:37:40",0.138,"2020-03-09 16:15:50",0.134,0.13,"2020-03-09 08:07:10",34.99,"2020-03-09 14:01:00",26.92,22.16,"2020-03-09 05:54:40"
"2020-03-11 00:00:00",41,12.71,44.25,30.51,"2020-03-10 12:44:20",26.21,22.31,"2020-03-10 23:57:00",1.946,91.1,"2020-03-10 23:52:30",55.5,"2020-03-10 13:00:30",1.274,"2020-03-10 12:01:00",22.64405,0.254,0.256,"2020-03-10 00:09:40",0.255,0.253,"2020-03-10 22:38:30",0.137,"2020-03-10 16:51:10",0.132,0.128,"2020-03-10 07:59:40",36.05,"2020-03-10 13:03:30",27.45,23.11,"2020-03-10 23:55:10"
"2020-03-12 00:00:00",42,12.71,42.37,29.74,"2020-03-11 10:59:40",25.82,22.32,"2020-03-11 00:00:10",1.992,90.2,"2020-03-11 00:03:00",58.16,"2020-03-11 12:08:00",1.234,"2020-03-11 11:10:50",18.90685,0.254,0.253,"2020-03-11 04:22:50",0.253,0.252,"2020-03-11 15:27:00",0.135,"2020-03-11 16:47:50",0.132,0.128,"2020-03-11 08:23:30",34.86,"2020-03-11 12:56:00",27,22.9,"2020-03-11 00:39:20"
"2020-03-13 00:00:00",43,12.7,44.44,30.16,"2020-03-12 11:02:50",26.29,23.69,"2020-03-12 05:02:30",1.946,83.9,"2020-03-12 23:58:40",56.38,"2020-03-12 12:33:10",1.391,"2020-03-12 12:18:30",23.40285,0,0.253,"2020-03-12 00:36:30",0.252,0.249,"2020-03-12 23:27:10",0.135,"2020-03-12 16:28:10",0.131,0.127,"2020-03-12 07:49:40",35.9,"2020-03-12 13:29:10",27.69,22.99,"2020-03-12 06:07:50"
"2020-03-14 00:00:00",44,12.69,44.81,30.32,"2020-03-13 13:15:40",25.85,22.68,"2020-03-13 05:55:30",2.364,93.1,"2020-03-13 01:10:20",55.73,"2020-03-13 13:03:50",1.286,"2020-03-13 12:13:40",20.71756,0,0.25,"2020-03-13 00:00:40",0.248,0.246,"2020-03-13 22:05:00",0.133,"2020-03-13 16:43:10",0.13,0.126,"2020-03-13 08:08:50",36.89,"2020-03-13 13:17:30",27.72,23.16,"2020-03-13 05:38:50"
"2020-03-15 00:00:00",45,12.69,47.1,31.68,"2020-03-14 13:10:10",26.55,23.22,"2020-03-14 05:46:30",2.872,87.7,"2020-03-14 03:10:50",52.11,"2020-03-14 13:36:30",1.204,"2020-03-14 11:42:40",24.81097,0,0.246,"2020-03-14 04:32:40",0.245,0.242,"2020-03-14 22:13:10",0.133,"2020-03-14 16:41:00",0.129,0.125,"2020-03-14 06:51:30",36.18,"2020-03-14 13:30:10",27.95,23.53,"2020-03-14 04:43:10"
"2020-03-16 00:00:00",46,12.69,42.89,29.58,"2020-03-15 12:50:30",24.94,21.38,"2020-03-15 23:59:20",2.486,94.9,"2020-03-15 04:24:00",51.39,"2020-03-15 12:52:10",1.251,"2020-03-15 13:43:20",22.07746,13.46,0.391,"2020-03-15 04:16:30",0.293,0.243,"2020-03-15 00:00:10",0.244,"2020-03-15 04:15:40",0.164,0.126,"2020-03-15 01:28:20",30.97,"2020-03-15 13:28:30",24.84,21.25,"2020-03-15 23:59:50"
